Width Cost Time1Thread Time4Threads Time8Threads Time16Threads Time32Threads
15 1 0.021375 0.015563 0.009019 0.012769 0.017082
20 1 0.721725 0.266139 0.117701 0.065044 0.041346
25 1 26.216325 9.424901 4.121798 1.955972 0.953078
27 1 107.195425 38.710943 16.787890 7.926115 3.873849
3 30 0.001730 0.001644 0.005567 0.001244 0.000944
6 2 0.003053 0.006482 0.003792 0.009319 0.018644
